ID,Order_Id,Order_Date,Order_Priority,Order_Quantity,Value,Discount,Shipping_mode,Profit,Unit_price,Shipping_cost,Customer_name,Province,Region,Customer_segment,Product_category,Product_subcategory,Product_name,Product_container,Product_base_margin,Shipping_date
1,3,10/13/2010,Low,6,224.2944,0.04,Regular Air,2.3824,38.94,35,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,00:00.0
2,6,2/20/2012,Not Specified,2,4.1184,0.01,Regular Air,-0.7296,2.08,2.56,Ruben Dartt,Alberta,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,Small Pack,0.55,00:00.0
3,32,7/15/2011,High,26,2600.0754,0.07,Regular Air,777.0084,107.53,5.81,Liz Pelletier,Alberta,West,Corporate,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,0.65,00:00.0
4,32,7/15/2011,High,24,1548.2376,0.09,Delivery Truck,233.9584,70.89,89.3,Liz Pelletier,Alberta,West,Corporate,Furniture,Tables,KI Conference Tables,Jumbo Box,0.72,00:00.0
5,32,7/15/2011,High,23,176.4192,0.04,Regular Air,61.1272,7.99,5.03,Liz Pelletier,Alberta,West,Corporate,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,00:00.0
6,32,7/15/2011,High,15,121.824,0.04,Regular Air,12.583,8.46,8.99,Liz Pelletier,Saskachewan,Prarie,Corporate,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",Small Pack,0.79,00:00.0
7,35,10/22/2011,Not Specified,30,265.101,0.03,Regular Air,120.735,9.11,2.25,Julie Creighton,British Columbia,West,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Wrap Bag,0.52,00:00.0
8,35,10/22/2011,Not Specified,14,2162.0214,0.01,Regular Air,886.3926,155.99,8.99,Julie Creighton,British Columbia,West,Corporate,Technology,Telephones and Communication,CF 688,Small Box,0.58,00:00.0
9,36,11/2/2011,Critical,46,2731.986,0.1,Regular Air,1058.239,65.99,4.2,Sample Company A,Alberta,West,Home Office,Technology,Telephones and Communication,6162i,Small Box,0.55,00:00.0
10,65,3/17/2011,Critical,32,3631.1744,0.02,Regular Air,1813.5972,115.79,1.99,Tamara Dahlen,Ontario,Ontario,Corporate,Technology,Computer Peripherals,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Small Pack,0.49,00:00.0
11,66,1/19/2009,Low,41,107.4528,0.09,Regular Air,40.628,2.88,0.7,Arthur Gainer,Alberta,West,Consumer,Office Supplies,Pens & Art Supplies,Newell 340,Wrap Bag,0.56,00:00.0
12,69,6/3/2009,Not Specified,42,1182.1446,0.09,Regular Air,606.6382,30.93,3.92,Jonathan Doherty,Saskachewan,Prarie,Corporate,Furniture,Office Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Small Pack,0.44,00:00.0
13,69,6/3/2009,Not Specified,28,45.6288,0.03,Express Air,16.7048,1.68,0.7,Jonathan Doherty,Saskachewan,Prarie,Corporate,Office Supplies,Pens & Art Supplies,Newell 308,Wrap Bag,0.6,00:00.0
14,70,12/17/2010,Low,48,86.6016,0.03,Regular Air,10.812,1.86,2.58,Helen Wasserman,Quebec,Quebec,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",Wrap Bag,0.82,00:00.0
15,70,12/17/2010,Low,46,9001.763,0.05,Regular Air,3405.2044,205.99,5.99,Helen Wasserman,Quebec,Quebec,Home Office,Technology,Telephones and Communication,3285,Small Box,0.59,00:00.0
16,96,4/16/2009,High,37,4615.0137,0.01,Regular Air,2042.1272,125.99,8.99,Keith Dawkins,Manitoba,Prarie,Home Office,Technology,Telephones and Communication,SC7868i,Small Box,0.55,00:00.0
17,97,1/28/2010,Medium,26,72.8858,0.03,Regular Air,43.8326,2.89,0.5,Craig Yedwab,Yukon,Yukon,Consumer,Office Supplies,Labels,Avery 498,Small Box,0.38,00:00.0
18,129,11/18/2012,Low,4,23.5872,0.09,Regular Air,5.8068,6.48,8.19,Pauline Chand,Ontario,Ontario,Corporate,Office Supplies,Paper,Xerox 217,Small Box,0.37,00:00.0
19,130,5/7/2012,High,3,430.293,0.05,Express Air,244.1858,150.98,13.99,Roy Collins,Saskachewan,Prarie,Corporate,Technology,Office Machines,Canon MP41DH Printing Calculator,Medium Box,0.38,00:00.0
20,130,5/7/2012,High,29,539.1274,0.02,Regular Air,326.5493,18.97,9.03,Roy Collins,Saskachewan,Prarie,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,00:00.0
21,130,5/7/2012,High,23,212.1635,0.05,Regular Air,68.7155,9.71,9.45,Roy Collins,Saskachewan,Prarie,Corporate,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,Small Box,0.6,00:00.0
